marketer31,consignee11,description21,order_no211,scheduled_delivery_on21,TextBox12,TextBox18,version_no211,TextBox271,TextBox274
"","","","3889537","07/03/2026 00:00:00","160","30.500000","3","160","30.500000"
"","","","3889538","07/04/2026 00:00:00","160","30.500000","3","160","30.500000"
"","","","3889539","07/05/2026 00:00:00","140","30.500000","3","140","30.500000"
"","","","3889540","07/06/2026 00:00:00","160","30.500000","3","160","30.500000"
"","","Avocado Hass Premium 18 Tray","3889534","06/30/2026 00:00:00","320","32.500000","1","320","32.500000"
"","","","","","","","2","320","32.500000"
"","","","3889535","07/01/2026 00:00:00","76","32.500000","1","320","32.500000"
"","","","","","","","2","76","32.500000"
"","","","","","","","3","76","32.500000"
"","","","3889536","07/02/2026 00:00:00","23","32.500000","1","320","32.500000"
"","","","","","","","2","23","32.500000"
"","","","","","","","3","23","32.500000"
"","","","","","","","4","23","32.500000"
"","","","","","","","5","23","32.500000"
"","","","3889537","07/03/2026 00:00:00","320","32.500000","1","320","32.500000"
"","","","","","","","2","320","32.500000"
"","","","","","","","3","320","32.500000"
"","","","3889538","07/04/2026 00:00:00","40","32.500000","1","320","32.500000"
"","","","","","","","2","40","32.500000"
"","","","","","","","3","40","32.500000"
"","","","3889539","07/05/2026 00:00:00","20","32.500000","1","160","32.500000"
"","","","","","","","2","20","32.500000"
"","","","","","","","3","20","32.500000"
"","","","3889540","07/06/2026 00:00:00","480","32.500000","1","320","32.500000"
"","","","","","","","2","320","32.500000"
"","","","","","","","3","480","32.500000"
"","","Avocado Hass Premium 20 Tray","3889535","07/01/2026 00:00:00","1","34.500000","3","1","34.500000"
"","","","3889536","07/02/2026 00:00:00","211","34.500000","3","211","34.500000"
"","","","","","","","4","211","34.500000"
"","","","","","","","5","211","34.500000"
"","","","3889537","07/03/2026 00:00:00","160","34.500000","1","160","34.500000"
"","","","","","","","2","160","34.500000"
"","","","","","","","3","160","34.500000"
"","","","3889538","07/04/2026 00:00:00","480","34.500000","1","160","34.500000"
"","","","","","","","2","160","34.500000"
"","","","","","","","3","480","34.500000"
"","","","3889539","07/05/2026 00:00:00","160","34.500000","3","160","34.500000"
